group;trainingTime;date;exercise;variation;weight;reps ;totalTime;distance;speed;slope;notes
Back ;;28/04/2024;Run;;body;;18:10;3;;0;
;;;Pull-ups;;body;2*8+5 ;;;;;
;;;Deadlift;;70;3*8 ;;;;;
;;;Lat pull down;;47,3;3*8 ;;;;;
;;;Seated rows;One arm ;25;3*8 ;;;;;
;;;Hypertension;;body;2*12 ;;;;;licht pijn 
;;;Bicep curl bar;;20kg ;3*8 ;;;;;
Chest;;29/04/2024;Walk;;body;;10:00;;7;7;
;;;Bench press;;60-65-60;8-6-7 ;;;;;
;;;Incline bench;;45;2*8+7;;;;;
;;;Shoulder press;Converging ;18;2*8+7 ;;;;;
;;;Chest fly;;45-52-59;2*8-8-8;;;;;
;;;Skul crusher;;15-20 ;8-3*8 ;;;;;
;;;Mountain walk;;body;;15:00;;7;7 till 10:00 ramp 1 per minute ;
Climbing ;;01/05/2024;Climbing;;body;;;;;;
Leg ;;02/05/2024;Run;;body;;17:20;3;;0;
;;;Leg press;;93-100-107;8-8-8 ;;;;;
;;;Leg extension;;73-79-86;8-8-8;;;;;
;;;Leg curl prone;;54-50;8+7-8 ;;;;;
;;;Mountain walk;;body;;12:00;;5 till 6;10 till 5min then 1 degree per minute till 10 min the 2 min speed increase ;
Chest;;05/05/2024;walk;;body;;07:00;;7;7;
;;;Bench press;;60-65-67.5;8-2*8-5;;;;;
;;;Incline bench;;40-45;8-2*8+6;;;;;
;;;Chest fly;;52-59-66;8-8-2*8;;;;;
;;;Shoulder press;;23-27-32;8-8-6;;;;;
Leg;;06/05/2024;Run;;body;;16:25;3;;;
;;;Leg press;;107-113-120;8-8-8;;;;;
;;;Leg extension;;86-93;8-3*8 ;;;;;
Climbing ;;07/05/2024;Climbing;;;;;;;;
;;;Push-ups;;body ;33-20-16 ;;;;;
;;;One arm hang;;body ;3*15-3*12 ;;;;;first left then right
;;;L raise;;body ;10-8;;;;;
Chest + Shoulders;01:38;08/05/2024;Mountain walk;;body ;;;;7;7 till 10 min then ramp 1 degree per minute till 15 min;
;;;Bench press;;60-65-60;8-8+7-6;;;;;
;;;Incline bench;;40-45-50;8-2*8-4;;;;;
;;;Supine press;;40;8+6 ;;;;;
;;;Shoulder press;;27-32-27;8-8+6-7;;;;;
;;;Chest fly;;59-66-59;8-6-6;;;;;
;;;Lateral raise;cable ;2.3-4.5-2.3;9-7-8 ;;;;;
;;;Skul crusher;;15-20;8-3*8 ;;;;;
Legs;;11/05/2024;Mountain walk;;body;;05:00;;7;7;
;;;Squat;;40-60-80;8-8-2*8;;;;;
;;;Leg extension;;79-86-93-100;8-8-8-8;;;;;
;;;Leg curl prone;;45-41;7-7 ;;;;;
;;;Calves;perfect squat;40-50-60 ;8-8-8;;;;;
Back ;;12/05/2024;Run ;;;;05:00;;12;;
;;;Seated rows;One arm ;41-45-52-59;8-8-8-5;;;;;
;;;Deadlift;;40-60-80-90;8-8-8-8+7;;;;;
;;;Lat pull down;;52-59;8-8+5 ;;;;;
;;;Bicep curl bar;;20;3*8 ;;;;;
Chest;01:11;13/05/2024;Run ;;body;;06:00;1;;;
;;;Bench press;;60-65;8-2*8+7;;;;;
;;;Incline bench;;40-50;8-8+7 ;;;;;
;;;Supine press;;20-30-40-50;8-8-8-8+6;;;;;
;;;Chest fly;;59-66-73 ;8-2*8-8;;;;;
;;;Shoulder press;;27-32;8-3*8 ;;;;;
;;;Lateral raise;cable ;2.3-4.5;8-8+6 ;;;;;
Climbing ;;14/05/2024;Climbing;;body ;;60:00:00;;;;
Legs + Abdo ;;15/05/2024;Run ;;body;;15:50;3;;;
;;;Squat;;60-80-90;8-8-6;;;;;
;;;Calves;;40-60-70;8-8-8 ;;;;;
;;;Stretch;;;;;;;;
;;;V crunches;;body ;30-30;;;;;
;;;Leg raises;;body ;20-10 ;;;;;
;;;Oblique crunches;;body ;20-20 ;;;;;
